Subject	Date	Version	Block	BlockCondition	Problem	ACC	CorrRT	AllRT
37041	10/12/2016	RavenStimv2	2	ShamMFG	Logic	1	20937.33	20937.33
37042	10/19/2016	RavenStimv2	2	StimMFG	Logic	0.6666666667	17931.50	24470.67
37043	10/21/2016	RavenStimv2	2	ShamIPG	Logic	1	30808.00	30808.00
37045	10/27/2016	RavenStimv1	2	ShamMFG	Logic	0.3333333333	40463.00	36666.00
37047	11/2/2016	RavenStimv1	2	ShamIPG	Logic	1	10152.00	10152.00
37048	11/3/2016	RavenStimv1	2	StimIPG	Logic	1	7154.00	7154.00
37049	11/4/2016	RavenStimv3	2	ShamMFG	Logic	0	0.00	17066.00
37050	11/9/2016	RavenStimv3	2	StimMFG	Logic	0.3333333333	65373.00	39767.00
37052	11/23/2016	RavenStimv3	2	ShamIPG	Logic	0.6666666667	28721.50	34534.33
37053	11/30/2016	RavenStimv3	2	StimIPG	Logic	1	41596.67	41596.67
37054	12/1/2016	RavenStimv4	2	ShamMFG	Logic	1	14951.00	14951.00
37056	1/17/2017	RavenStimv4	2	StimMFG	Logic	1	14764.33	14764.33
37057	1/25/2017	RavenStimv4	2	ShamIPG	Logic	0	0.00	29630.00
37058	1/31/2017	RavenStimv4	2	StimIPG	Logic	0.6666666667	9653.50	8904.67
37059	2/3/2017	RavenStimv1	2	StimMFG	Logic	0	0.00	70254.00
37061	2/10/2017	RavenStimv2	2	StimIPG	Logic	0.3333333333	40848.00	30707.00
37063	3/6/2017	RavenStimv3	2	ShamMFG	Logic	0.6666666667	31466.50	44235.33
37064	3/13/2017	RavenStimv3	2	StimMFG	Logic	1	46326.33	46326.33
