TICKS, POS-REWARD, NEG-REWARD, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT
20.0, 2.0, -2.0, 3.0, 10.0, 2.0, 0.33333334, 5.5916667
20.0, 2.0, -2.0, 3.0, 10.0, 5.0, 0.33333334, 5.558333
20.0, 2.0, -2.0, 3.0, 10.0, 10.0, 1.0, 5.5750003
20.0, 2.0, -2.0, 4.0, 1.0, 1.0, 0.33333334, 5.5916667
20.0, 2.0, -2.0, 4.0, 1.0, 2.0, 0.33333334, 5.5750003
20.0, 2.0, -2.0, 4.0, 1.0, 5.0, 0.33333334, 5.819
20.0, 2.0, -2.0, 4.0, 1.0, 10.0, 1.0, 7.0676665
20.0, 2.0, -2.0, 4.0, 2.0, 1.0, 0.6666667, 5.5916667
20.0, 2.0, -2.0, 4.0, 2.0, 2.0, 0.33333334, 5.596333
20.0, 2.0, -2.0, 4.0, 2.0, 5.0, 0.6666667, 5.602333
20.0, 2.0, -2.0, 4.0, 2.0, 10.0, 0.6666667, 5.5979996
20.0, 2.0, -2.0, 4.0, 5.0, 1.0, 0.0, 5.5983334
20.0, 2.0, -2.0, 4.0, 5.0, 2.0, 1.0, 5.8133335
20.0, 2.0, -2.0, 4.0, 5.0, 5.0, 0.6666667, 5.839667
20.0, 2.0, -2.0, 4.0, 5.0, 10.0, 0.0, 5.5750003
20.0, 2.0, -2.0, 4.0, 10.0, 1.0, 0.6666667, 5.5749993
20.0, 2.0, -2.0, 4.0, 10.0, 2.0, 0.0, 5.5750003
20.0, 2.0, -2.0, 4.0, 10.0, 5.0, 0.0, 5.5603333
20.0, 2.0, -2.0, 4.0, 10.0, 10.0, 0.33333334, 5.5839996
20.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 5.658999
20.0, 4.0, -0.5, 1.0, 1.0, 2.0, 0.33333334, 5.5916667
20.0, 4.0, -0.5, 1.0, 1.0, 5.0, 0.6666667, 5.6083336
20.0, 4.0, -0.5, 1.0, 1.0, 10.0, 0.0, 5.5990005
20.0, 4.0, -0.5, 1.0, 2.0, 1.0, 1.0, 5.56
20.0, 4.0, -0.5, 1.0, 2.0, 2.0, 0.6666667, 5.808333
20.0, 4.0, -0.5, 1.0, 2.0, 5.0, 0.0, 5.578667
